,concurrent
2691,45
2692,12
2693,10
2694,8
2695,1
2696,92
2697,10
2698,35
2699,32
2700,21
2701,66
2702,42
2703,5
2704,56
2705,8
2706,13
2707,16
2708,0
2709,1
2710,37
2711,6
2712,9
2713,1
2714,1
2715,4
2716,0
2717,12
2718,4
2719,25
2720,270
2721,30
2722,1
2723,3
2724,20
2725,4
2726,2
2727,0
2728,4
2729,7
2730,1
2731,243
2732,166
2733,15
2734,14
2735,4
2736,7
2737,17
2738,2
2739,9
2740,39
2741,11
2742,4
2743,20
2744,6
2745,1
2746,19
2747,6
2748,74
2749,291
2750,21
2751,9
2752,50
2753,7
2754,49
2755,8
2756,6
2757,209
2758,608
2759,81
2760,12
2761,1
2762,13
2763,1361
2764,6
2765,7
2766,4
2767,14
2768,2
2769,3
2770,0
2771,6
2772,14
2773,4
2774,8
2775,157
2776,7
2777,82
2778,2
2779,163
2780,6
2781,5
2782,38
2783,4
2784,15
2785,5
2786,21
2787,1
2788,2
2789,19
2790,5
2791,9
2792,0
2793,0
2794,14
2795,9
2796,1
2797,0
2798,2
2799,39
2800,4
2801,4
2802,0
2803,5
2804,15
2805,0
2806,0
2807,1
2808,69
2809,43
2810,0
2811,17
2812,0
2813,6
2814,40
2815,68
2816,16
2817,17
2818,10
2819,10
2820,10
2821,17
2822,8
2823,5
2824,0
2825,9
2826,0
2827,19
2828,3
2829,10
2830,30
2831,6
2832,13
2833,1
2834,101
2835,5
2836,24
2837,1
2838,1
2839,93
2840,10
2841,6
2842,31
2843,106
2844,0
2845,5
2846,44
2847,6
2848,52
2849,3
2850,32
2851,3
2852,10
2853,1
2854,29
2855,1
2856,45
2857,17
2858,12
2859,46
2860,68
2861,5
2862,15
2863,8
2864,5
2865,0
2866,14
2867,2
2868,0
2869,1
2870,0
2871,0
2872,12
2873,0
2874,2
2875,44
2876,10
2877,31
2878,1
2879,48
2880,32
2881,20
2882,0
2883,4
2884,13
2885,186
2886,4
2887,79
2888,13
2889,8
2890,0
2891,10
2892,38
2893,1
2894,7
2895,0
2896,0
2897,483
2898,3
2899,6
2900,7
2901,1
2902,51
2903,1
2904,201
2905,16
2906,4
2907,11
2908,9
2909,10
2910,13
2911,1
2912,55
2913,2
2914,20
2915,9
2916,0
2917,0
2918,2
2919,50
2920,13
2921,56
2922,23
2923,96
2924,3
2925,4
2926,1
2927,2
2928,9
2929,12
2930,0
2931,100
2932,10
2933,3
2934,0
2935,2
2936,4
2937,2
