,url,name,developer,publisher,month,year,total_reviews,percent_positive,prices,sameDevPub,esrb,appid,onlinePVP,singlePlayer,onlineCoop,tradingCards,microtransactions,crossPlatform,mmo,account,achievement,remotePlay,controller,agreement,cloud,hasPegi,total_reviews30,percent_positive30,concurrent
1012,https://store.steampowered.com/app/32460/Monkey_Island_2_Special_Edition_LeChucks_Revenge,Monkey Island™ 2 Special Edition: LeChuck’s Revenge™,LucasArts,LucasArts,Jul,2010,1422,0.94,9.99,1,e10,32460,0,1,0,0,0,0,0,0,1,1,1,1,1,1,29,0.93,82
1013,https://store.steampowered.com/app/695290/The_Golf_Club_2019_featuring_PGA_TOUR,The Golf Club™ 2019 featuring PGA TOUR,HB Studios Multimedia Ltd.,2K,Aug,2018,1352,0.72,49.99,0,e,695290,1,1,1,0,0,0,0,0,1,1,1,0,0,1,18,0.61,70
1014,https://store.steampowered.com/app/1058020/STAR_WARS_Battlefront_Classic_2004,"STAR WARS™ Battlefront (Classic, 2004)",Pandemic Studios,Lucasfilm,Sep,2004,1923,0.96,9.99,0,t,1058020,1,1,0,0,0,1,0,0,0,0,0,1,1,1,45,0.97,49
1015,https://store.steampowered.com/app/1239050/House_on_the_Hill,House on the Hill,Steppe Hare Studio,Steppe Hare Studio,Jul,2020,285,0.91,6.99,1,n,1239050,0,1,0,0,0,0,0,0,1,0,0,0,0,0,54,0.9,1
1016,https://store.steampowered.com/app/376680/Splendor,Splendor,Days of Wonder,Days of Wonder,Sep,2015,321,0.79,9.99,1,n,376680,1,1,0,0,0,1,0,0,1,1,0,0,0,0,14,1.0,78
1017,https://store.steampowered.com/app/625960/Stoneshard,Stoneshard,Ink Stains Games,HypeTrain Digital,Feb,2020,13162,0.77,19.99,0,n,625960,0,1,0,0,0,0,0,0,0,1,0,0,0,0,735,0.74,210
1018,https://store.steampowered.com/app/1067850/Kindergarten_2,Kindergarten 2,"Con Man Games, SmashGames",SmashGames,Jul,2019,1146,0.96,14.99,1,n,1067850,0,1,0,0,0,0,0,0,1,0,1,0,0,0,45,0.95,64
1019,https://store.steampowered.com/app/462770/Pyre,Pyre,Supergiant Games,Supergiant Games,Jul,2017,5735,0.9,19.99,1,e10,462770,0,1,0,1,0,0,0,0,1,1,1,0,1,1,108,0.83,17
1020,https://store.steampowered.com/app/282140/SOMA,SOMA,Frictional Games,Frictional Games,Sep,2015,20258,0.95,29.99,1,m,282140,0,1,0,1,0,0,0,0,1,1,1,1,1,1,260,0.95,70
1021,https://store.steampowered.com/app/1125330/Griefhelm,Griefhelm,Johnny Dale Lonack,Thorrnet Publishing,Aug,2020,145,0.79,19.99,0,n,1125330,1,1,0,0,0,0,0,0,0,1,1,0,1,0,11,0.81,0
1022,https://store.steampowered.com/app/304212/Euro_Truck_Simulator_2__Scandinavia,Euro Truck Simulator 2 - Scandinavia,SCS Software,SCS Software,May,2015,3909,0.96,17.99,1,n,304212,0,1,0,1,0,0,0,0,1,0,0,0,0,0,27,1.0,0
1023,https://store.steampowered.com/app/602520/NEKOPARA_Vol_3,NEKOPARA Vol. 3,NEKO WORKs,Sekai Project,May,2017,9040,0.97,9.99,0,n,602520,0,1,0,1,0,0,0,0,1,0,0,0,1,0,70,1.0,28
1024,https://store.steampowered.com/app/212070/Star_Conflict,Star Conflict,Star Gem Inc.,Gaijin Distribution KFT,Feb,2013,13016,0.75,0.0,0,n,212070,0,0,0,1,0,0,1,0,1,0,0,0,0,0,66,0.74,244
1025,https://store.steampowered.com/app/333640/Caves_of_Qud,Caves of Qud,Freehold Games,Freehold Games,Jul,2015,2320,0.96,14.99,1,n,333640,0,1,0,0,0,0,0,0,1,0,0,1,0,0,60,0.95,189
1026,https://store.steampowered.com/app/350080/Wolfenstein_The_Old_Blood,Wolfenstein: The Old Blood,MachineGames,Bethesda Softworks,May,2015,7657,0.88,19.99,0,m,350080,0,1,0,0,0,0,0,0,1,0,0,1,1,1,170,0.9,129
1027,https://store.steampowered.com/app/925580/Euro_Truck_Simulator_2__Beyond_the_Baltic_Sea,Euro Truck Simulator 2 - Beyond the Baltic Sea,SCS Software,SCS Software,Nov,2018,1558,0.93,17.99,1,n,925580,0,1,0,1,0,0,0,0,1,0,0,0,0,0,11,0.9,0
1028,https://store.steampowered.com/app/251150/The_Legend_of_Heroes_Trails_in_the_Sky,The Legend of Heroes: Trails in the Sky,Nihon Falcom,XSEED Games,Jul,2014,4481,0.92,19.99,0,n,251150,0,1,0,1,0,0,0,0,1,0,0,0,1,0,70,0.95,145
1029,https://store.steampowered.com/app/246840/FATE,FATE,WildTangent,WildTangent,May,2005,1349,0.93,7.99,1,e10,246840,0,1,0,1,0,0,0,0,1,0,0,0,1,1,43,0.93,63
1030,https://store.steampowered.com/app/550470/NosTale,NosTale,"Entwell Co., Ltd.",Gameforge 4D GmbH,Sep,2017,1858,0.71,0.0,0,n,550470,1,0,1,1,1,0,1,0,0,0,0,0,0,0,47,0.68,357
1031,https://store.steampowered.com/app/539470/Police_Stories,Police Stories,Mighty Morgan,HypeTrain Digital,Sep,2019,2742,0.85,14.99,0,n,539470,0,1,1,0,0,0,0,0,1,1,1,0,1,0,76,0.9,50
1032,https://store.steampowered.com/app/748490/The_Legend_of_Heroes_Trails_of_Cold_Steel_II,The Legend of Heroes: Trails of Cold Steel II,Nihon Falcom,XSEED Games,Feb,2018,1469,0.95,39.99,0,t,748490,0,1,0,1,0,0,0,0,1,0,0,0,1,1,24,0.95,94
1033,https://store.steampowered.com/app/1211020/Wobbly_Life,Wobbly Life,RubberBandGames,RubberBandGames,Jul,2020,215,0.95,8.99,1,n,1211020,0,1,1,0,0,0,0,0,0,0,0,0,1,0,84,0.95,835
1034,https://store.steampowered.com/app/1053680/Granny_Simulator,Granny Simulator,Nick Kestle,Nick Kestle,Aug,2019,1265,0.91,4.99,1,n,1053680,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,0.92,32
1035,https://store.steampowered.com/app/447530/VA11_HallA_Cyberpunk_Bartender_Action,VA-11 Hall-A: Cyberpunk Bartender Action,Sukeban Games,Ysbryd Games,Jun,2016,18925,0.97,14.99,0,n,447530,0,1,0,1,0,0,0,0,1,1,0,0,1,0,239,0.95,82
1036,https://store.steampowered.com/app/335670/LISA_The_Painful,LISA: The Painful,Dingaling,"Dingaling Productions, LLC",Dec,2014,8693,0.95,9.99,0,m,335670,0,1,0,1,0,0,0,0,1,0,0,0,1,1,128,0.99,41
1037,https://store.steampowered.com/app/554620/Life_is_Strange_Before_the_Storm,Life is Strange: Before the Storm,"Deck Nine, Feral Interactive (Mac), Feral Interactive (Linux)",Square Enix,Aug,2017,26781,0.93,16.99,0,m,554620,0,1,0,1,0,0,0,0,1,0,1,1,1,1,245,0.93,76
1038,https://store.steampowered.com/app/994280/Gujian3,古剑奇谭三(Gujian3),上海烛龙信息科技有限公司,北京网元圣唐娱乐科技有限公司,Dec,2018,22530,0.85,29.99,0,n,994280,0,1,0,0,0,0,0,0,1,1,0,0,0,0,417,0.84,166
1039,https://store.steampowered.com/app/311560/Assassins_Creed_Rogue,Assassin’s Creed® Rogue,"Ubisoft Sofia, Ubisoft Kiev",Ubisoft,Mar,2015,7969,0.82,19.99,1,m,311560,0,1,0,0,0,0,0,1,0,0,0,1,0,1,148,0.76,123
1040,https://store.steampowered.com/app/273110/CounterStrike_Nexon_Studio,Counter-Strike Nexon: Studio,"Valve Corporation, Nexon Korea Corporation",Nexon Korea Corporation,Oct,2014,37514,0.65,0.0,1,n,273110,0,1,0,1,1,0,1,0,1,0,0,1,0,0,195,0.69,400
1041,https://store.steampowered.com/app/1018800/DEEEER_Simulator_Your_Average_Everyday_Deer_Game,DEEEER Simulator: Your Average Everyday Deer Game,Gibier Games,PLAYISM,Jan,2020,855,0.87,12.99,0,n,1018800,0,1,0,0,0,0,0,0,0,0,0,0,1,0,41,0.9,66
1042,https://store.steampowered.com/app/626690/Sword_Art_Online_Fatal_Bullet,Sword Art Online: Fatal Bullet,DIMPS,BANDAI NAMCO Entertainment,Feb,2018,11078,0.79,39.99,0,t,626690,1,1,0,0,0,0,0,0,1,1,0,1,1,1,238,0.86,233
1043,https://store.steampowered.com/app/537800/Bomber_Crew,Bomber Crew,Runner Duck,Curve Digital,Oct,2017,5941,0.88,14.99,0,n,537800,0,1,0,1,0,0,0,0,1,1,1,0,1,0,347,0.89,2633
1044,https://store.steampowered.com/app/793460/112_Operator,112 Operator,Jutsu Games,Games Operators,Apr,2020,1250,0.85,24.99,0,n,793460,0,1,0,0,0,0,0,0,1,0,0,0,1,0,69,0.81,139
1045,https://store.steampowered.com/app/588030/Derail_Valley,Derail Valley,Altfuture,Altfuture,Jan,2019,1282,0.92,19.99,1,n,588030,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52,0.92,97
1046,https://store.steampowered.com/app/40980/Stronghold_Legends_Steam_Edition,Stronghold Legends: Steam Edition,FireFly Studios,FireFly Studios,Oct,2009,835,0.84,14.99,1,t,40980,0,1,0,1,0,0,0,0,1,0,0,0,1,1,29,0.93,96
1047,https://store.steampowered.com/app/843380/Super_Animal_Royale,Super Animal Royale,Pixile,Pixile,Dec,2018,5446,0.96,0.0,1,n,843380,1,0,1,0,0,0,0,1,0,0,1,1,0,0,93,0.98,1210
1048,https://store.steampowered.com/app/1051200/Trover_Saves_the_Universe,Trover Saves the Universe,"Squanch Games, Inc.","Squanch Games, Inc.",Jun,2019,1954,0.92,29.99,1,m,1051200,0,1,0,1,0,0,0,0,1,1,1,0,1,1,24,0.91,5
1049,https://store.steampowered.com/app/217200/Worms_Armageddon,Worms Armageddon,Team17 Digital Ltd,Team17 Digital Ltd,May,1999,3767,0.94,14.99,1,e,217200,0,1,0,0,0,0,0,0,0,0,0,0,0,1,107,0.95,247
1050,https://store.steampowered.com/app/1024010/Ultimate_Fishing_Simulator_VR,Ultimate Fishing Simulator VR,Bit Golem,Ultimate Games S.A.,Nov,2019,219,0.87,29.99,0,n,1024010,1,1,0,0,0,0,0,0,1,0,0,0,1,0,12,1.0,10
1051,https://store.steampowered.com/app/420110/NEKOPARA_Vol_2,NEKOPARA Vol. 2,NEKO WORKs,Sekai Project,Feb,2016,8776,0.97,9.99,0,n,420110,0,1,0,1,0,0,0,0,1,0,0,0,1,0,81,0.97,18
1052,https://store.steampowered.com/app/12200/Bully_Scholarship_Edition,Bully: Scholarship Edition,Rockstar New England,Rockstar Games,Oct,2008,11493,0.83,14.99,0,t,12200,0,1,0,0,0,0,0,0,0,0,0,1,0,1,169,0.75,174
1053,https://store.steampowered.com/app/252530/OMSI_2_Steam_Edition,OMSI 2: Steam Edition,MR-Software GbR,Aerosoft GmbH,Dec,2013,3181,0.78,29.99,0,n,252530,0,1,0,0,0,0,0,0,0,0,1,1,0,0,70,0.85,1305
1054,https://store.steampowered.com/app/909660/Vagrus__The_Riven_Realms,Vagrus - The Riven Realms,Lost Pilgrims Studio,Lost Pilgrims Studio,Jul,2020,103,0.87,29.99,1,n,909660,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0.81,29
1055,https://store.steampowered.com/app/1353520/Brawlhalla__Summer_Championship_2020_Pack,Brawlhalla - Summer Championship 2020 Pack,Blue Mammoth Games,Ubisoft,Jul,2020,102,0.91,8.99,0,e10,1353520,1,1,1,1,0,1,0,0,1,1,1,0,0,1,11,0.9,0
1056,https://store.steampowered.com/app/41700/STALKER_Call_of_Pripyat,S.T.A.L.K.E.R.: Call of Pripyat,GSC Game World,GSC Game World,Feb,2010,11944,0.96,19.99,1,n,41700,1,1,0,0,0,0,0,0,0,0,0,0,1,0,144,0.95,451
1057,https://store.steampowered.com/app/250760/Shovel_Knight_Treasure_Trove,Shovel Knight: Treasure Trove,Yacht Club Games,Yacht Club Games,Jun,2014,10524,0.96,39.99,1,e,250760,0,1,0,1,0,0,0,0,1,1,1,0,1,1,61,0.95,62
1058,https://store.steampowered.com/app/16450/FEAR_2_Project_Origin,F.E.A.R. 2: Project Origin,Monolith,Warner Bros. Interactive Entertainment,Feb,2009,2316,0.85,14.99,0,m,16450,0,1,0,0,0,0,0,0,0,0,0,1,0,1,70,0.85,34
1059,https://store.steampowered.com/app/15100/Assassins_Creed_Directors_Cut_Edition,Assassin's Creed™: Director's Cut Edition,Ubisoft Montreal,Ubisoft,Apr,2008,8579,0.83,19.99,1,m,15100,0,1,0,0,0,0,0,0,0,0,0,0,0,1,119,0.83,85
1060,https://store.steampowered.com/app/1236720/Spirit_Island,Spirit Island,Handelabra Games Inc.,Handelabra Games Inc.,Jul,2020,176,0.9,24.99,1,n,1236720,0,1,0,0,0,0,0,0,0,1,0,0,1,0,16,0.93,43
1061,https://store.steampowered.com/app/885000/Synth_Riders,Synth Riders,Kluge Interactive,Kluge Interactive,Jul,2018,369,0.93,24.99,1,n,885000,1,1,0,0,1,1,0,0,0,0,0,0,0,0,32,0.87,23
1062,https://store.steampowered.com/app/613880/Zoo_Tycoon_Ultimate_Animal_Collection,Zoo Tycoon: Ultimate Animal Collection,"Frontier Developments, Asobo Studio",Xbox Game Studios,Sep,2018,724,0.58,19.99,0,e,613880,1,1,0,0,0,0,0,0,1,0,0,0,1,1,18,0.72,27
1063,https://store.steampowered.com/app/899440/GOD_EATER_3,GOD EATER 3,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,Feb,2019,3549,0.82,59.99,0,t,899440,1,1,1,1,0,0,0,0,1,0,0,1,1,1,44,0.9,232
1064,https://store.steampowered.com/app/965480/Campfire_Pro,Campfire Pro,Campfire Technology LLC,Campfire Technology LLC,Oct,2018,164,0.78,49.99,1,n,965480,0,0,0,1,0,0,0,0,1,0,0,0,1,0,14,0.71,26
1065,https://store.steampowered.com/app/1286710/Hylics_2,Hylics 2,Mason Lindroth,Mason Lindroth,Jun,2020,643,0.96,14.99,1,n,1286710,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0.97,13
1066,https://store.steampowered.com/app/390560/Fantasy_Strike,Fantasy Strike,Sirlin Games,Sirlin Games,Jul,2019,1145,0.72,0.0,1,t,390560,1,1,0,1,0,1,0,0,0,1,1,0,0,1,59,0.62,11
1067,https://store.steampowered.com/app/232890/Stronghold_Crusader_2,Stronghold Crusader 2,FireFly Studios,FireFly Studios,Sep,2014,6406,0.68,39.99,1,t,232890,1,1,1,1,0,0,0,0,1,0,0,0,1,1,129,0.75,469
1068,https://store.steampowered.com/app/873840/Truck_and_Logistics_Simulator,Truck and Logistics Simulator,Simula Games,Aerosoft GmbH,Jun,2020,629,0.69,19.99,0,n,873840,0,1,1,0,0,1,0,0,0,0,1,0,0,0,44,0.65,19
1069,https://store.steampowered.com/app/730830/Escape_from_Monkey_Island,Escape from Monkey Island™,LucasArts,Lucasfilm,Nov,2000,178,0.62,6.99,0,t,730830,0,1,0,0,0,0,0,0,0,0,0,1,1,1,12,0.83,12
1070,https://store.steampowered.com/app/1096570/SONG_OF_HORROR_COMPLETE_EDITION,SONG OF HORROR COMPLETE EDITION,Protocol Games,🚀 Raiser Games,Oct,2019,674,0.85,29.99,0,n,1096570,0,1,0,0,0,0,0,0,1,0,1,0,1,0,35,0.8,20
1071,https://store.steampowered.com/app/566540/Labyrinth_of_Refrain_Coven_of_Dusk,Labyrinth of Refrain: Coven of Dusk,"Nippon Ichi Software, Inc.","NIS America, Inc.",Sep,2018,407,0.77,29.99,0,m,566540,0,1,0,1,0,0,0,0,1,1,1,0,1,1,14,0.57,22
1072,https://store.steampowered.com/app/712640/Dont_Starve_Hamlet,Don't Starve: Hamlet,Klei Entertainment,-,Nov,2018,1221,0.88,6.99,0,n,712640,0,1,0,1,0,0,0,0,0,0,1,0,1,0,14,0.71,0
1073,https://store.steampowered.com/app/205610/Port_Royale_3,Port Royale 3,Gaming Minds Studios,Kalypso Media Digital,May,2012,788,0.71,14.99,0,t,205610,0,1,0,1,0,0,0,0,1,0,1,0,0,1,23,0.86,62
1074,https://store.steampowered.com/app/254320/Duskers,Duskers,Misfits Attic,Misfits Attic,May,2016,1346,0.89,19.99,1,n,254320,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0.88,12
1075,https://store.steampowered.com/app/599080/The_Blackout_Club,The Blackout Club,Question,Question,Jul,2019,1453,0.85,29.99,1,m,599080,1,1,1,0,0,0,0,0,1,1,1,1,1,1,15,0.66,4
1076,https://store.steampowered.com/app/553520/Trainz_Railroad_Simulator_2019,Trainz Railroad Simulator 2019,N3V Games,N3V Games,Jan,2019,492,0.64,69.99,1,n,553520,0,1,0,0,0,0,0,1,1,0,0,0,0,0,23,0.73,388
